"repo";"nb_user_repo";"nb_user_repo_with_social";"Rs"
"webjars/webjars-locator";4;1;0.25
"nutzam/nutz";5;2;0.4
"tulskiy/musique";5;0;0
"4thline/cling";1;0;0
"samskivert/jmustache";5;0;0
"nostra13/Android-Universal-Image-Loader";6;3;0.5
"square/okhttp";14;4;0.285714285714286
"FasterXML/jackson-dataformat-xml";10;4;0.4
"junit-team/junit";1470;126;0.0857142857142857
"TooTallNate/Java-WebSocket";11;3;0.272727272727273
"FasterXML/jackson-core";128;8;0.0625
"FasterXML/jackson-annotations";81;8;0.0987654320987654
"google/guava";485;21;0.0432989690721649
"cbeust/jcommander";42;4;0.0952380952380952
"FasterXML/jackson-databind";232;28;0.120689655172414
"brettwooldridge/HikariCP";9;3;0.333333333333333
"dropwizard/metrics";16;4;0.25
"RegalOwl/HyperConomy";1;0;0
"MilkBowl/Vault";53;25;0.471698113207547
"square/okio";2;0;0
"netty/netty";41;19;0.463414634146341
"cbeust/testng";166;26;0.156626506024096
"jmock-developers/jmock-library";25;1;0.04
"ning/compress";5;2;0.4
"FasterXML/aalto-xml";3;1;0.333333333333333
"barchart/barchart-udt";3;3;1
"google/guice";128;4;0.03125
"google/truth";4;0;0
"square/retrofit";7;2;0.285714285714286
"joel-costigliola/assertj-core";53;17;0.320754716981132
"square/wire";1;0;0
"kevinsawicki/http-request";5;1;0.2
"javalite/activejdbc";3;0;0
"jdeferred/jdeferred";1;1;1
"graphstream/gs-core";2;1;0.5
"airlift/airlift";4;3;0.75
"JodaOrg/joda-time";228;5;0.0219298245614035
"jsevellec/cassandra-unit";6;4;0.666666666666667
"aws/aws-sdk-java";38;5;0.131578947368421
"jdbi/jdbi";11;7;0.636363636363636
"mybatis/mybatis-3";11;1;0.0909090909090909
"JCTools/JCTools";1;1;1
"blackdrag/pcollections";2;1;0.5
"square/picasso";4;1;0.25
"alexruiz/fest-assert-2.x";32;11;0.34375
"orientechnologies/orientdb";7;4;0.571428571428571
"hazelcast/hazelcast";19;5;0.263157894736842
"tinkerpop/blueprints";17;8;0.470588235294118
"tinkerpop/rexster";6;3;0.5
"tinkerpop/gremlin";8;4;0.5
"jsr107/jsr107tck";1;1;1
"ralfstx/minimal-json";7;2;0.285714285714286
"jcabi/jcabi-xml";9;7;0.777777777777778
"jcabi/jcabi-aspects";17;7;0.411764705882353
"jcabi/jcabi-log";17;7;0.411764705882353
"fernandezpablo85/scribe-java";16;4;0.25
"libgdx/libgdx";4;3;0.75
"robovm/robovm";2;2;1
"zeroturnaround/zt-zip";4;0;0
"appsgate2015/appsgate";54;0;0
"cwi-swat/pdb.values";1;0;0
"dropwizard/dropwizard";15;8;0.533333333333333
"FasterXML/jackson-dataformat-yaml";9;2;0.222222222222222
"FasterXML/jackson-datatype-guava";14;4;0.285714285714286
"getsentry/raven-java";3;0;0
"spotify/docker-client";2;0;0
"alibaba/fastjson";12;2;0.166666666666667
"owlike/genson";3;0;0
"ArcBees/GWTP";3;1;0.333333333333333
"ArcBees/Jukito";2;1;0.5
"nmorel/gwt-jackson";1;1;1
"google/gwtmockito";1;0;0
"FasterXML/jackson-dataformat-csv";4;1;0.25
"pholser/jopt-simple";21;1;0.0476190476190476
"zxing/zxing";13;0;0
"timmolter/XChange";4;4;1
"timmolter/XChart";2;1;0.5
"JodaOrg/joda-money";5;1;0.2
"xetorthio/jedis";32;5;0.15625
"phaed420/PreciousStones";1;0;0
"phaed420/SimpleClans";3;1;0.333333333333333
"mcMMO-Dev/mcMMO";8;5;0.625
"gravitylow/AntiCheat";1;0;0
"antlr/antlr3";42;2;0.0476190476190476
"Parquet/parquet-format";1;0;0
"twitter/elephant-bird";1;1;1
"FasterXML/jackson-datatype-joda";20;4;0.2
"atteo/classindex";2;0;0
"MineSworn/UltimateArena";1;1;1
"aadnk/ProtocolLib";13;8;0.615384615384615
"mrniko/redisson";1;0;0
"spring-projects/spring-hateoas";4;1;0.25
"jadler-mocking/jadler";2;1;0.5
"FasterXML/jackson-module-afterburner";4;1;0.25
"tlrx/elasticsearch-test";1;1;1
"stuart-warren/logit";1;1;1
"logstash/logstash-logback-encoder";2;0;0
"airbrake/airbrake-java";1;0;0
"jclouds/legacy-jclouds";3;0;0
"togglz/togglz";2;1;0.5
"rundeck/rundeck";1;1;1
"thinkaurelius/titan";1;0;0
"tinkerpop/frames";3;2;0.666666666666667
"ronmamo/reflections";58;1;0.0172413793103448
"spatial4j/spatial4j";2;0;0
"carrotsearch/randomizedtesting";6;2;0.333333333333333
"mkremins/fanciful";2;0;0
"protegeproject/protege";1;0;0
"owlcs/owlapi";8;4;0.5
"confuser/BarAPI";2;1;0.5
"kohsuke/github-api";3;0;0
"yegor256/rexsl";3;1;0.333333333333333
"yegor256/xembly";6;3;0.5
"jcabi/jcabi-dynamo";3;3;1
"jcabi/jcabi-github";2;2;1
"jcabi/jcabi-jdbc";4;2;0.5
"bytedeco/javacv";1;0;0
"bytedeco/javacpp-presets";1;0;0
"johncarl81/transfuse";1;0;0
"saxsys/SynchronizeFX";1;1;1
"adamfisk/LittleProxy";4;1;0.25
"nkzawa/socket.io-client.java";1;0;0
"mmazi/rescu";1;1;1
"flyway/flyway";1;0;0
"lumifyio/securegraph";1;0;0
"rabbitmq/rabbitmq-java-client";16;1;0.0625
"sweble/sweble-wikitext";2;1;0.5
"Berico-Technologies/CLAVIN";2;2;1
"drewnoakes/metadata-extractor";4;0;0
"Atmosphere/atmosphere";15;2;0.133333333333333
"before/uadetector";2;0;0
"jknack/handlebars.java";8;3;0.375
"jbox2d/jbox2d";2;2;1
"RuedigerMoeller/fast-serialization";3;3;1
"easymock/objenesis";20;0;0
"HdrHistogram/HdrHistogram";5;1;0.2
"FasterXML/jackson-module-jsonSchema";7;3;0.428571428571429
"FasterXML/jackson-jaxrs-providers";4;0;0
"lordofthejars/nosql-unit";2;0;0
"neo4j/neo4j";20;12;0.6
"SpigotMC/BungeeCord";5;4;0.8
"stephanenicolas/robospice";1;0;0
"j256/ormlite-core";2;0;0
"j256/ormlite-android";2;1;0.5
"jankotek/MapDB";16;5;0.3125
"ebean-orm/avaje-ebeanorm";1;1;1
"alibaba/druid";5;3;0.6
"httl/httl";2;1;0.5
"square/otto";4;0;0
"ninjaframework/ninja";2;2;1
"ocpsoft/prettytime";12;2;0.166666666666667
"greenmail-mail-test/greenmail";10;0;0
"librato/metrics-librato";4;1;0.25
"FluentLenium/FluentLenium";2;1;0.5
"tomp2p/TomP2P";2;2;1
"fabric8io/fabric8";1;0;0
"rhuss/jolokia";5;2;0.4
"FasterXML/jackson-module-jaxb-annotations";11;1;0.0909090909090909
"fusesource/mqtt-client";4;1;0.25
"fabric8io/quickstarts";1;0;0
"cucumber/cucumber-jvm";9;1;0.111111111111111
"haraldk/TwelveMonkeys";3;0;0
"alkarinv/BattleArena";1;0;0
"slipcor/pvparena";1;0;0
"Double0negative/Survival-Games";1;0;0
"kitskub/MyHungerGames";1;0;0
"Hidendra/Plugin-Metrics";24;4;0.166666666666667
"swaldman/c3p0";9;0;0
"JakeWharton/DiskLruCache";4;3;0.75
"mybatis/spring";9;1;0.111111111111111
"alibaba/dubbo";1;0;0
"excilys/androidannotations";1;1;1
"ACRA/acra";3;0;0
"alkarinv/BattleTracker";1;0;0
"gwtbootstrap/gwt-bootstrap";1;0;0
"gwt-test-utils/gwt-test-utils";3;2;0.666666666666667
"Pragmatists/JUnitParams";6;0;0
"Jasig/cas";5;3;0.6
"jsr107/RI";2;0;0
"ryantenney/metrics-spring";6;0;0
"pac4j/pac4j";6;2;0.333333333333333
"ehcache/ehcache-jcache";1;0;0
"calrissian/mango";2;0;0
"jcabi/jcabi-http";5;4;0.8
"phenotips/phenotips";2;0;0
"appium/java-client";4;2;0.5
"rometools/rome";4;1;0.25
"kohsuke/args4j";26;2;0.0769230769230769
"springtestdbunit/spring-test-dbunit";3;0;0
"jOOQ/jOOQ";9;5;0.555555555555556
"impossibl/pgjdbc-ng";1;0;0
"mbax/VanishNoPacket";3;2;0.666666666666667
"searls/jasmine-maven-plugin";1;0;0
"antlr/stringtemplate4";5;0;0
"OneBusAway/onebusaway-gtfs-modules";2;1;0.5
"mocleiri/github-oauth-plugin";1;0;0
"mongodb/morphia";6;2;0.333333333333333
"OpenHFT/HugeCollections";1;0;0
"OpenHFT/Java-Lang";2;0;0
"jsonld-java/jsonld-java";7;3;0.428571428571429
"skyscreamer/JSONassert";18;0;0
"geosolutions-it/geoserver-manager";2;2;1
"EmiteGWT/emite";2;0;0
"highsource/jaxb2-basics";5;1;0.2
"lookfirst/sardine";2;0;0
"square/dagger";4;0;0
"google/compile-testing";6;2;0.333333333333333
"FasterXML/jackson-datatype-hibernate";5;2;0.4
"JadiraOrg/jadira";8;0;0
"spullara/mustache.java";12;3;0.25
"jfinal/jfinal";4;2;0.5
"JoanZapata/base-adapter-helper";1;0;0
"neuland/jade4j";5;1;0.2
"kongchen/swagger-maven-plugin";1;1;1
"square/protoparser";1;0;0
"thymeleaf/thymeleaf";7;2;0.285714285714286
"BroadleafCommerce/BroadleafCommerce";1;0;0
"levkhomich/semargl";4;3;0.75
"zeromq/jeromq";6;1;0.166666666666667
"jeremylong/DependencyCheck";1;0;0
"jacoco/jacoco";8;0;0
"threerings/playn";1;0;0
"craigwblake/redline";1;1;1
"stormpath/stormpath-sdk-java";1;1;1
"aeshell/aesh";2;0;0
"jnr/jnr-posix";2;2;1
"zeromq/jzmq";2;0;0
"Multiverse/Multiverse-Core";8;4;0.5
"jamesdbloom/mockserver";2;1;0.5
"vidageek/mirror";5;4;0.8
"caelum/vraptor";7;1;0.142857142857143
"morfologik/morfologik-stemming";1;1;1
"thiagolocatelli/parse4j";1;0;0
"mtedone/podam";1;0;0
"webbit/webbit";5;2;0.4
"RichardWarburton/lambda-behave";1;0;0
"torakiki/sejda";1;0;0
"FasterXML/jackson-jr";1;0;0
"JSQLParser/JSqlParser";2;1;0.5
"perwendel/spark";4;2;0.5
"ceylon/ceylon-module-resolver";1;0;0
"tinkerpop/pipes";3;1;0.333333333333333
"deegree/deegree3";1;1;1
"beckchr/staxon";1;0;0
"lviggiano/owner";1;1;1
"googleads/googleads-java-lib";1;0;0
"joshsh/ripple";1;1;1
"square/spoon";1;1;1
"SomMeri/less4j";4;1;0.25
"sebfz1/wicket-jquery-ui";2;0;0
"Adobe-Consulting-Services/acs-aem-commons";1;0;0
"pveentjer/Multiverse";1;0;0
"bergerkiller/BKCommonLib";1;0;0
"Njol/Skript";2;1;0.5
"junkdog/artemis-odb";1;1;1
"gwtbootstrap3/gwtbootstrap3";3;1;0.333333333333333
"bennidi/mbassador";2;1;0.5
"beckchr/juel";3;0;0
"bartdag/py4j";1;0;0
"Mashape/unirest-java";1;1;1
"MutabilityDetector/MutabilityDetector";1;0;0
"dain/leveldb";3;1;0.333333333333333
"lightblue-platform/lightblue-client";1;0;0
"lightblue-platform/lightblue-core";6;0;0
"omnifaces/omnifaces";2;0;0
"ocpsoft/rewrite";3;1;0.333333333333333
"rjeschke/txtmark";2;0;0
"antlr/antlr4";6;2;0.333333333333333
"spring-cloud/spring-cloud-netflix";1;0;0
"spring-cloud/spring-cloud-config";2;0;0
"buschmais/extended-objects";1;0;0
"wicketstuff/core";5;3;0.6
"jparsec/jparsec";1;0;0
"resty-gwt/resty-gwt";3;1;0.333333333333333
"telefonicaid/fiware-sdc";1;0;0
"twilio/twilio-java";2;1;0.5
"jsimone/webapp-runner";1;0;0
"thebuzzmedia/imgscalr";6;0;0
"DICE-UNC/jargon";2;0;0
"molgenis/molgenis";2;0;0
"helun/Ektorp";2;0;0
"mikiobraun/jblas";2;0;0
"Activiti/Activiti";4;1;0.25
"sbtourist/Journal.IO";1;0;0
"osmdroid/osmdroid";1;0;0
"Multiverse/Multiverse-Inventories";1;1;1
"Multiverse/Multiverse-Adventure";1;0;0
"thrau/jarchivelib";1;0;0
"JakeWharton/butterknife";1;0;0
"st-js/st-js";1;1;1
"l0rdn1kk0n/wicket-bootstrap";2;2;1
"molgenis/systemsgenetics";1;0;0
"DozerMapper/dozer";10;2;0.2
"notnoop/java-apns";4;1;0.25
"jqno/equalsverifier";8;0;0
"mbedward/jaitools";3;1;0.333333333333333
"sitemesh/sitemesh3";1;0;0
"Atmosphere/atmosphere-extensions";1;1;1
"peter-lawrey/Java-Thread-Affinity";1;0;0
"w3c/ldp-testsuite";1;1;1
"raml-org/raml-java-parser";3;3;1
"eldur/jwbf";1;0;0
"joelittlejohn/jsonschema2pojo";3;0;0
"boatmeme/microsoft-translator-java-api";1;0;0
"fiji/TrackMate";1;0;0
"imagej/imagej-common";7;2;0.285714285714286
"imglib/imglib2";7;7;1
"scifio/scifio";5;5;1
"scijava/scijava-common";9;9;1
"cucumber/gherkin";1;0;0
"akquinet/needle";1;1;1
"gosu-lang/gosu-lang";2;1;0.5
"Unidata/thredds";2;1;0.5
"aaberg/sql2o";1;0;0
"Esri/geometry-api-java";1;0;0
"citiususc/hipster";1;0;0
"iipc/openwayback";2;2;1
"iipc/webarchive-commons";4;3;0.75
"forcedotcom/wsc";2;0;0
"imagej/imagej-ops";2;0;0
"rest-driver/rest-driver";1;1;1
"plutext/docx4j";3;0;0
"FallenMoonNetwork/CanaryLib";3;2;0.666666666666667
"INRIA/spoon";1;1;1
"Atmosphere/nettosphere";2;0;0
"brendano/ark-tweet-nlp";1;0;0
"bguerout/jongo";3;1;0.333333333333333
"sarxos/webcam-capture";1;0;0
"caprica/vlcj";3;2;0.666666666666667
"culturegraph/metafacture-core";1;1;1
"jcabi/jcabi-mysql-maven-plugin";1;1;1
"greese/dasein-cloud-core";1;0;0
"CitizensDev/Citizens2";3;2;0.666666666666667
"joel-costigliola/assertj-assertions-generator";1;0;0
"inaiat/jqplot4java";1;1;1
"selendroid/selendroid";2;1;0.5
"maxmind/GeoIP2-java";1;0;0
"jhalterman/lyra";1;0;0
"masterthought/cucumber-reporting";2;0;0
"Hidendra/LWC";1;0;0
"cibuddy/cibuddy";1;1;1
"p6spy/p6spy";2;0;0
"imagej/imagej-legacy";2;0;0
"imagej/imagej";2;2;1
"52North/WPS";1;1;1
"addthis/stream-lib";2;0;0
"SynBioDex/libSBOLj";1;1;1
"aled/jsi";1;1;1
"hydrox/DroxPerms";2;2;1
"gresrun/jesque";1;1;1
"bpsm/edn-java";1;1;1
"geosolutions-it/imageio-ext";1;1;1
"dadoonet/spring-elasticsearch";1;1;1
"dadoonet/fsriver";1;1;1
"twitter/hraven";1;0;0
"ActiveJpa/activejpa";1;1;1
"itm/netty-protocols";2;0;0
"itm/wsn-device-drivers";2;0;0
"itm/wsn-device-utils";1;0;0
"tlaukkan/vaadin-lazyquerycontainer";1;0;0
"xpoft/spring-vaadin";1;0;0
"joestelmach/natty";1;1;1
"searchisko/elasticsearch-river-remote";1;0;0
"juzu/juzu";2;1;0.5
"fusesource/leveldbjni";1;1;1
"searchisko/elasticsearch-river-jira";1;0;0
"52North/timeseries-api";1;0;0
"52North/SOS";1;0;0
"chocoteam/choco3";1;1;1
"facebook/nifty";1;0;0
"jhalterman/modelmapper";2;0;0
"sikuli/sikuli-api";1;0;0
"encog/encog-java-core";3;1;0.333333333333333
"ios-driver/ios-driver";1;1;1
"trautonen/coveralls-maven-plugin";1;0;0
"protostuff/protostuff";1;1;1
"torquebox/jruby-maven-plugins";1;0;0
"wocommunity/wonder";1;1;1
"Prototik/HoloEverywhere";3;1;0.333333333333333
"heroku/heroku.jar";2;1;0.5
"greenlaw110/Rythm";1;0;0
"mbosecke/pebble";1;1;1
"trimou/trimou";1;1;1
"energyos/OpenESPI-Common-java";2;0;0
"caelum/vraptor-i18n";1;0;0
"imagej/imagej-ui-swing";1;0;0
"biojava/biojava";1;1;1
"opencb/cellbase";1;0;0
"spring-projects/spring-test-mvc";1;0;0
"ical4j/ical4j";3;1;0.333333333333333
"alibaba/canal";1;0;0
"ISA-tools/ISAvalidator-ISAconverter-BIImanager";1;0;0
"ISA-tools/BioInvIndex";1;0;0
"gwtbootstrap3/gwtbootstrap3-extras";1;0;0
"pgmann/SpectatorPlus";1;1;1
"chrisvest/stormpot";1;0;0
"got5/tapestry5-jquery";1;1;1
"marschall/memoryfilesystem";1;1;1
"candrews/HttpResponseCache";1;0;0
"b3log/b3log-latke";2;0;0
"lruiz/MarkdownPapers";2;0;0
"EsotericSoftware/yamlbeans";2;0;0
"ProjectInfinity/ReportRTS";1;1;1
"jmxtrans/embedded-jmxtrans";1;0;0
"Moocar/logback-gelf";2;2;1
"hector-client/hector";4;2;0.5
"joel-costigliola/assertj-swing";1;0;0
"jdereg/json-io";1;0;0
"mulesoft/jira-connector";1;0;0
"52North/SensorWebClient";1;0;0
"mfornos/humanize";2;1;0.5
"woorea/openstack-java-sdk";1;0;0
"darcy-framework/synq";2;0;0
"Azure/azure-storage-java";1;0;0
"lightblue-platform/lightblue-mongo";2;0;0
"lightblue-platform/lightblue-ldap";1;0;0
"normanmaurer/niosmtp";1;1;1
"Unicon/cas-addons";1;0;0
"neo4j-contrib/cypher-dsl";1;1;1
"highsource/maven-jaxb2-plugin";2;0;0
"threerings/tripleplay";2;1;0.5
"Multiverse/Multiverse-Portals";2;0;0
"jmkgreen/morphia";1;1;1
"fommil/matrix-toolkits-java";1;1;1
"dwdyer/reportng";1;0;0
"ISA-tools/ISAcreator";1;0;0
"HubSpot/dropwizard-guice";1;0;0
"agmip/translator-dssat";1;0;0
"hpcc-systems/HPCC-JAPIs";1;0;0
"dhanji/sitebricks";1;0;0
"beangle/library";1;0;0
"paulhoule/centipede";1;0;0
"bigdataviewer/SPIM_Registration";1;1;1
"usb4java/usb4java";1;1;1
"dreedyman/Rio";1;1;1
"victims/victims-lib-java";1;0;0
"the-fascinator/the-fascinator";1;1;1
"Presage/Presage2";2;1;0.5
"bitstadium/HockeySDK-Android";1;0;0
"codjo/codjo-tokio";10;0;0
"codjo/codjo-test";15;0;0
"codjo/codjo-mad";6;0;0
"codjo/codjo-security";7;0;0
"codjo/codjo-plugin";9;0;0
"codjo/codjo-sql";8;0;0
"codjo/codjo-datagen";6;0;0
"codjo/codjo-gui-toolkit";6;0;0
"grisu/grisu";1;0;0
"codjo/codjo-workflow";4;0;0
"lexicalscope/jewelcli";1;1;1
"jcodec/jcodec";1;0;0
"tehbeard/BeardStat";1;0;0
"codjo/codjo-release-test";4;0;0
"codjo/codjo-imports";1;0;0
"rometools/rome-modules";1;0;0
"3pillarlabs/socialauth";1;0;0
"cowtowncoder/java-classmate";2;1;0.5
"javaswift/joss";1;1;1
"google/closure-templates";1;1;1
"yadarts/yadarts";1;0;0
"s7/scale7-pelops";1;1;1
"phenotips/patient-network";1;0;0
"openpreserve/scout";1;0;0
