"repo";"nb_user_repo";"nb_user_repo_with_social";"Rs"
"faye/faye-websocket-ruby";7;4;0.571428571428571
"rake-compiler/rake-compiler";65;41;0.630769230769231
"premailer/css_parser";5;0;0
"aasm/aasm";3;1;0.333333333333333
"voloko/sdoc";7;2;0.285714285714286
"rack/rack";121;60;0.495867768595041
"eventmachine/eventmachine";56;32;0.571428571428571
"pry/pry";253;91;0.359683794466403
"ruby/rake";1219;162;0.132895816242822
"bundler/bundler";670;367;0.547761194029851
"noredink/rspec-retry";6;1;0.166666666666667
"igrigorik/em-http-request";19;9;0.473684210526316
"gocardless/statesman";1;1;1
"vmg/redcarpet";81;18;0.222222222222222
"bblimke/webmock";158;45;0.284810126582278
"lsegal/yard";255;111;0.435294117647059
"lostisland/faraday";98;46;0.469387755102041
"msgpack/msgpack-ruby";10;4;0.4
"codeclimate/ruby-test-reporter";36;8;0.222222222222222
"seattlerb/minitest";280;122;0.435714285714286
"bbatsov/rubocop";130;76;0.584615384615385
"ruby-json-schema/json-schema";10;4;0.4
"octokit/octokit.rb";28;11;0.392857142857143
"dtao/safe_yaml";15;9;0.6
"jnicklas/capybara";127;72;0.566929133858268
"cucumber/cucumber-rails";14;8;0.571428571428571
"DatabaseCleaner/database_cleaner";81;22;0.271604938271605
"thoughtbot/factory_girl_rails";36;2;0.0555555555555556
"rspec/rspec-rails";165;91;0.551515151515152
"SeleniumHQ/selenium";26;8;0.307692307692308
"rails/sprockets";41;16;0.390243902439024
"sparklemotion/sqlite3-ruby";256;31;0.12109375
"rails/coffee-rails";41;8;0.195121951219512
"haml/haml";72;33;0.458333333333333
"jnunemaker/httparty";54;9;0.166666666666667
"rails/jquery-rails";78;19;0.243589743589744
"joliss/jquery-ui-rails";17;2;0.117647058823529
"airblade/paper_trail";2;0;0
"rails/rails";323;265;0.820433436532508
"rubyzip/rubyzip";47;17;0.361702127659574
"rails/sass-rails";58;26;0.448275862068966
"louismullie/stanford-core-nlp";1;1;1
"chrisk/fakeweb";46;8;0.173913043478261
"rr/rr";42;13;0.30952380952381
"glejeune/Ruby-Graphviz";5;3;0.6
"colszowka/simplecov";250;113;0.452
"sinatra/sinatra";135;45;0.333333333333333
"xmpp4r/xmpp4r";3;0;0
"celluloid/celluloid";15;13;0.866666666666667
"celluloid/celluloid-io";7;5;0.714285714285714
"pluginaweek/state_machine";5;4;0.8
"erikhuda/thor";166;50;0.301204819277108
"projecthydra/active_fedora";3;3;1
"rdoc/rdoc";173;52;0.300578034682081
"nevir/rubocop-rspec";7;2;0.285714285714286
"ActiveTriples/ActiveTriples";3;3;1
"ruby-rdf/rdf-rdfxml";3;1;0.333333333333333
"rsolr/rsolr";5;5;1
"ember-data/active-model-adapter";1;1;1
"emberjs/data";2;2;1
"guard/guard-rspec";103;30;0.29126213592233
"sparklemotion/nokogiri";218;112;0.513761467889908
"ruby-rdf/rdf";5;2;0.4
"colszowka/phantomjs-gem";4;3;0.75
"teampoltergeist/poltergeist";30;10;0.333333333333333
"activeadmin/activeadmin";6;6;1
"stympy/faker";20;3;0.15
"jfirebaugh/konacha";1;0;0
"zdennis/activerecord-import";5;4;0.8
"cgriego/active_attr";4;1;0.25
"thoughtbot/factory_girl";30;9;0.3
"tzinfo/tzinfo";35;4;0.114285714285714
"ruby-amqp/bunny";3;2;0.666666666666667
"ejholmes/restforce";3;3;1
"roo-rb/roo";5;3;0.6
"gettalong/kramdown";42;9;0.214285714285714
"thoughtbot/appraisal";74;34;0.459459459459459
"jfelchner/ruby-progressbar";21;5;0.238095238095238
"mbj/unparser";1;0;0
"solnic/virtus";15;10;0.666666666666667
"rails-api/active_model_serializers";8;6;0.75
"activemerchant/active_merchant";4;3;0.75
"intridea/hashie";53;20;0.377358490566038
"freerange/mocha";212;60;0.283018867924528
"RubyMoney/money";4;2;0.5
"intridea/multi_json";133;50;0.37593984962406
"nixme/pry-debugger";3;0;0
"thoughtbot/shoulda-matchers";15;4;0.266666666666667
"mgomes/api_auth";1;1;1
"typhoeus/typhoeus";18;12;0.666666666666667
"jnunemaker/crack";9;4;0.444444444444444
